Date,Price,Open,High,Low,Vol.,Change %
25-Jul-19,84.3,84.55,89.72,83.45,-,0.49%
24-Jul-19,83.89,80.2,84.14,77.05,-,6.20%
23-Jul-19,78.99,80.36,82.13,78.72,-,-2.75%
22-Jul-19,81.22,86.77,87.23,81.09,-,-6.40%
19-Jul-19,86.77,84.04,86.98,82.95,-,3.25%
18-Jul-19,84.04,90.35,90.35,83.8,-,-6.98%
17-Jul-19,90.35,87.1,90.35,85.99,-,2.38%
16-Jul-19,88.25,85.77,89.11,84.66,-,2.38%
15-Jul-19,86.2,86.86,87.98,85.42,-,0.07%
12-Jul-19,86.14,86.37,88.54,85.88,-,-2.34%
11-Jul-19,88.2,85.18,89.63,84.77,-,2.59%
10-Jul-19,85.97,82.26,86,82.26,-,4.45%
9-Jul-19,82.31,85.57,85.68,81.63,-,-1.61%
8-Jul-19,83.66,83.95,84.38,81.67,-,4.86%
5-Jul-19,79.78,82.4,85.6,79.19,-,-0.32%
3-Jul-19,80.04,79.01,80.1,78.68,-,2.33%
2-Jul-19,78.22,78.76,79.22,75.37,-,-1.71%
1-Jul-19,79.58,80.56,81.42,77.77,-,-7.23%
28-Jun-19,85.78,86.63,87.82,85.69,-,-0.86%
27-Jun-19,86.52,85.3,87.62,84.2,-,1.32%
26-Jun-19,85.39,85.18,86.17,83.13,-,0.27%
25-Jun-19,85.16,82.97,85.34,82.54,-,3.11%
24-Jun-19,82.59,83.75,83.88,81.49,-,-0.66%
21-Jun-19,83.14,82.55,83.37,79.33,-,2.38%
20-Jun-19,81.21,83.23,87,80.93,-,-3.98%
19-Jun-19,84.58,86.68,87.72,81.71,-,-3.19%
18-Jun-19,87.37,83.3,87.86,82.53,-,4.66%
17-Jun-19,83.48,83.81,84.41,81.79,-,1.10%
14-Jun-19,82.57,85.7,86.18,82.29,-,-2.55%
13-Jun-19,84.73,84.77,85.67,83.55,-,-1.71%
12-Jun-19,86.2,88.93,89.38,85.52,-,1.47%
11-Jun-19,84.95,83.46,86.58,82.92,-,1.30%
10-Jun-19,83.86,86.96,86.96,82.89,-,-2.49%
7-Jun-19,86,85.2,86.31,84.23,-,1.37%
6-Jun-19,84.84,87.03,87.48,84.57,-,-2.17%
5-Jun-19,86.72,88.21,90.48,86.69,-,-2.49%
4-Jun-19,88.93,93.64,94.38,88.78,-,-7.39%
3-Jun-19,96.03,98.22,98.63,94.06,-,-0.71%
31-May-19,96.72,98.77,99.71,93.76,-,4.25%
30-May-19,92.78,92.12,94.21,90.39,-,-1.12%
29-May-19,93.83,97.96,98.58,93.27,-,-1.31%
28-May-19,95.08,90.03,95.67,90.03,-,5.42%
24-May-19,90.19,92.02,93.55,89.93,-,-5.04%
23-May-19,94.98,93.87,97.04,91.91,-,6.36%
22-May-19,89.3,92.9,94.42,88.43,-,-3.33%
21-May-19,92.38,94.19,94.59,90.29,-,-4.60%
20-May-19,96.83,101.73,102.93,96.17,-,-2.31%
17-May-19,99.12,97.1,99.35,93.65,-,5.19%
16-May-19,94.23,94.54,94.54,89.8,-,-0.32%
15-May-19,94.53,101.74,102.35,94.12,-,-2.81%
14-May-19,97.26,105.27,105.27,95.52,-,-7.90%
13-May-19,105.6,106.06,107.6,102.17,-,9.99%
10-May-19,96.01,103.62,105.44,93.43,-,-6.71%
9-May-19,102.92,111.81,114.8,102.29,-,-3.34%
8-May-19,106.48,112.13,113.26,104.58,-,-4.54%
7-May-19,111.54,98.89,117.63,98.54,-,17.60%
6-May-19,94.85,99.79,99.79,93.01,-,10.00%
3-May-19,86.23,89.43,89.43,85.86,-,-7.30%
2-May-19,93.02,93.65,100.28,92.19,-,-2.85%
1-May-19,95.75,87.31,96.61,85.82,-,8.12%
30-Apr-19,88.56,86.44,89.25,85.31,-,2.88%
29-Apr-19,86.08,85.91,86.4,83.53,-,2.33%
26-Apr-19,84.12,86.28,87.23,82.94,-,-3.24%
25-Apr-19,86.94,85.19,88.87,85.19,-,2.08%
24-Apr-19,85.17,81.56,85.94,81.13,-,4.59%
23-Apr-19,81.43,83.3,83.31,80.65,-,-2.21%
22-Apr-19,83.27,87.54,88.3,82.93,-,-1.35%
18-Apr-19,84.41,85.8,85.97,83.12,-,-1.33%
17-Apr-19,85.55,82.41,86.29,81.95,-,2.36%
16-Apr-19,83.58,83.3,84.03,81.34,-,-0.70%
15-Apr-19,84.17,85.02,88.64,83.47,-,-0.95%
12-Apr-19,84.98,85.84,86.53,83.57,-,-3.50%
11-Apr-19,88.06,87.69,90.03,86.61,-,-1.60%
10-Apr-19,89.49,90.82,93.08,88.74,-,1.53%
9-Apr-19,88.14,83.88,88.22,83.87,-,7.67%
8-Apr-19,81.86,80.99,82.37,80.22,-,3.49%
5-Apr-19,79.1,81.01,81.55,78.45,-,-3.71%
4-Apr-19,82.15,83.84,84.11,81.32,-,-2.47%
3-Apr-19,84.23,81.72,85.67,81.56,-,1.14%
2-Apr-19,83.28,85.21,85.61,81.97,-,-1.94%
1-Apr-19,84.93,86.78,87.27,84.37,-,-1.04%
29-Mar-19,85.82,87.14,87.41,85.4,-,-2.42%
28-Mar-19,87.95,89.74,90.11,86.74,-,-3.71%
27-Mar-19,91.34,89.85,96.38,89.09,-,1.66%
26-Mar-19,89.85,93.23,93.23,89.51,-,-7.56%
25-Mar-19,97.2,99.65,102.42,96.76,-,-1.32%
22-Mar-19,98.5,85.43,103.94,84.73,-,17.42%
21-Mar-19,83.89,86.68,86.68,82.34,-,-3.16%
20-Mar-19,86.63,87.48,89.65,84.08,-,-0.84%
19-Mar-19,87.36,83.74,87.92,83.74,-,2.15%
18-Mar-19,85.52,84.94,86.35,83.19,-,3.11%
15-Mar-19,82.94,82.18,83.93,80.51,-,0.46%
14-Mar-19,82.56,82.93,83.8,81.82,-,-0.24%
13-Mar-19,82.76,81.72,84.34,79.95,-,-0.36%
12-Mar-19,83.06,83.89,84.12,81.38,-,2.25%
11-Mar-19,81.23,87.7,87.7,81.12,-,-6.89%
8-Mar-19,87.24,91.69,93.41,87.22,-,-1.65%
7-Mar-19,88.7,87.77,92.73,86.89,-,3.02%
6-Mar-19,86.1,81.99,87.28,81.99,-,4.41%
5-Mar-19,82.46,82.02,84.71,81.05,-,0.15%
4-Mar-19,82.34,79.72,90.29,78.17,-,3.87%
1-Mar-19,79.27,78.42,80.59,77.29,-,-0.91%
28-Feb-19,80,80.54,80.9,78.52,-,-0.46%
27-Feb-19,80.37,81.26,85.58,80.14,-,-0.20%
26-Feb-19,80.53,80.37,81.18,78.79,-,1.49%
25-Feb-19,79.35,75.61,79.35,74.38,-,5.83%
22-Feb-19,74.98,75.8,75.95,74.36,-,-2.17%
21-Feb-19,76.64,75.58,78.94,75.15,-,1.39%
20-Feb-19,75.59,78.36,78.65,74.42,-,-3.88%
19-Feb-19,78.64,83.82,84.22,76.87,-,-2.25%
15-Feb-19,80.45,80.25,82.4,78.98,-,-1.46%
14-Feb-19,81.64,82.51,84.78,80.14,-,1.71%
13-Feb-19,80.27,81.07,83.54,79.89,-,-1.67%
12-Feb-19,81.63,80.96,82.63,80.09,-,-1.38%
